ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index
94027,89,723,137,4764,380,1,0,167,0,6261,891,14.23,250001,8.8,68,18.5,1.2,84.7,7213,7397088.91
94022,228,1880,255,12682,1416,8,1,502,0,16972,2390,14.08,250001,5.2,53.7,36.2,0.2,87.6,20069,4383734.1
94301,141,1229,163,8513,1141,5,5,352,0,11549,1586,13.73,184932,6.2,59.6,24.4,2.5,82,17243,3763337.05
94028,128,645,110,4451,609,1,1,188,0,6133,834,13.60,250001,9,79.5,5.9,0,85.2,6582,3708911.26
94024,253,1981,246,14374,1649,12,3,571,0,19089,2564,13.43,250001,6.3,55.6,31.7,0.9,85.1,24203,3879869.05
90402,78,756,67,6223,722,20,3,309,0,8178,1085,13.27,139667,12.5,73.9,5.9,0.8,78.6,12046,4112663.88
92657,107,933,126,7458,302,13,1,243,0,9183,1189,12.95,181176,6,67,22.7,0.2,78.3,9342,3949922.71
90077,72,664,92,5542,405,9,0,201,0,6985,874,12.51,200625,5.8,77,7.5,1.7,77.8,7729,2893567.91
90272,226,1533,229,13385,1385,28,1,581,0,17368,2142,12.33,212115,5,82.1,7.2,0.4,78.9,21282,3376952.31
95070,324,2589,378,21252,2143,53,6,724,0,27469,3366,12.25,222235,2.9,39.3,52.5,0.1,80.1,32189,3442554.51
90094,33,588,62,5014,400,8,0,157,0,6262,753,12.03,166667,12.1,59.4,17.3,4.3,83.9,11426,1268247.27
95030,225,1035,262,9117,642,11,5,342,0,11639,1388,11.93,215461,5.5,75.7,16.3,0.2,79.6,13528,3234472.56
94708,101,572,61,6133,1020,4,5,380,0,8276,956,11.55,201099,4.5,75.8,10.7,1.9,86.6,11937,1552077.6
94539,284,3476,674,31836,3274,55,3,1108,0,40710,4639,11.40,200046,4.5,13.9,75.9,1.5,74.3,53762,1902980.06
90067,27,319,59,3076,220,5,0,110,0,3816,434,11.37,109704,5.2,71.4,18.7,2.3,65,2483,1348859.66
91436,112,1088,196,10556,765,7,3,396,0,13123,1491,11.36,157898,8.6,80.1,3.9,1.8,69.6,16970,2172898.21
94582,253,2784,342,25532,2302,55,3,801,0,32072,3640,11.35,186367,5.4,27,58.6,3.4,75.9,47319,1677478.95
94707,131,702,87,6926,1305,1,3,364,0,9519,1067,11.21,182603,5,72.4,12.4,1.1,85.1,12313,1627385.14
92618,405,3516,1161,34474,2530,107,20,1120,1,43334,4743,10.95,117833,9.9,35.1,48.2,1.5,69.3,54368,1262961.11
94306,175,1530,281,14434,1992,20,2,523,0,18957,2073,10.94,185588,7.7,48.6,36.4,2.2,81.4,28394,2946768.36
90049,223,1952,254,20274,1734,31,2,761,0,25231,2744,10.88,143000,7.9,78.1,7.1,1.3,80.8,35853,2716187.61
90210,117,1426,234,13867,694,8,1,381,0,16728,1815,10.85,154740,6.2,81.3,5.1,1.9,64.8,19627,5160554.57
95120,365,2263,703,24896,2079,43,10,1105,0,31464,3411,10.84,221632,7.6,46,38.9,1.1,73.5,38358,2007526.51
90266,299,1980,550,21553,1678,16,22,903,0,27001,2899,10.74,169586,7.6,71.3,14.7,0.5,77.9,35585,2857420.44
94563,300,1230,455,12777,1223,7,0,529,0,16521,1766,10.69,250001,6,70.4,14.7,0.6,87,19454,1961092.78
92617,18,270,70,3725,416,39,2,193,0,4733,502,10.61,57372,22.8,32.1,30.2,5.1,83.4,17960,773693.86
95138,126,1158,289,12032,916,17,5,410,0,14953,1585,10.60,172434,24,20.3,47.6,4.2,53.4,19827,1646818.83
94957,54,152,46,1510,97,0,0,49,0,1908,201,10.54,250001,4,86.2,5.8,1.6,83.2,1949,3802986.55
92603,133,1115,197,12133,939,27,6,432,0,14982,1574,10.51,175012,9.6,47.5,37,0.6,76.8,19128,1731696.47
94158,22,268,29,2626,293,1,2,76,0,3317,345,10.40,161391,15.2,32.4,40.6,4.1,68.6,10658,1265065.01
94618,138,752,114,8482,1277,4,2,406,0,11175,1162,10.40,172454,9.2,66.6,12.8,3.7,84.1,17324,1657147.26
